group,name,anatomy,modality,targets,link,link_type,worksheet,row
CT,GammaKnife-Hippocampal,Brain,CT,brain organ,https://doi.org/10.7937/Q967-X166,Dataset,organizers,76
CT,HCC-TACE-Seg,Abdomen,CT,Tumor,https://doi.org/10.7937/TCIA.5FNA-0924,Dataset,organizers,12
CT,INSTANCE22,Head,CT,Intracranial Hemorrhage,https://instance.grand-challenge.org/Instance2022/,Dataset,organizers,10
CT,Kipa22,Abdomen,CT,"Kidney, Vessel, Tumor",https://kipa22.grand-challenge.org,Dataset,participants,64
CT,KiTS23,Abdomen,CT,Kidney Lesion,https://kits-challenge.org/kits23/,Dataset,organizers,11
CT,LCTSC,Chest,CT,"Esophagus, Heart, Lungs, Spinal cord",https://doi.org/10.7937/K9/TCIA.2017.3R3FVZ08,Dataset,organizers,24
CT,LIDC-IDRI,Chest,CT,Lung cancer,https://doi.org/10.7937/K9/TCIA.2015.LO9QL9SX,Dataset,organizers,88
CT,LiTS,Abdomen,CT,Liver tumor,https://competitions.codalab.org/competitions/17094#learn_the_details-overview,Dataset,participants,5
CT,LNDb,Lung,CT,Lung cancer,https://zenodo.org/records/8348419,Dataset,participants,7
CT,LongCIU,Chest,CT,"ground glass opacities (GGO), consolidations",https://iro.uiowa.edu/esploro/outputs/dataset/9984632558202771,Dataset,organizers,135
CT,LUNA 16,Chest,CT,Lung nodule,https://luna16.grand-challenge.org/Download/,Dataset,organizers,89
CT,Mediastinal-Lymph-Node-SEG,Chest,CT,lymph nodes,https://doi.org/10.7937/QVAZ-JA09,Dataset,organizers,21
CT,MedSeg_IVC,—,CT,—,https://figshare.com/articles/dataset/MedSeg_Inferior_Vena_Cava_Dataset/15180192,Dataset,organizers,171
CT,MedSeg_Liver-Segments,—,CT,—,https://figshare.com/articles/dataset/MedSeg_Liver_segments_dataset/13643252,Dataset,organizers,170
CT,MSD-ColonCancer,Abdomen,CT,Colon Cancer Primaries,http://medicaldecathlon.com/#tasks,Dataset,organizers,6
CT,MSD-HepaticVessels,Vessel,CT,Hepatic vessels and tumour,http://medicaldecathlon.com/#tasks,Dataset,organizers,14
CT,MSD-LiverTumor,Abdomen,CT,Liver and tumour,http://medicaldecathlon.com/,Dataset,organizers,13
CT,MSD-LungTumor,Lung,CT,Lung tumor,http://medicaldecathlon.com/,Dataset,organizers,15
CT,MSD-Pancreastumor,Abdomen,CT,pancreas and tumors,http://medicaldecathlon.com/#tasks,Dataset,organizers,22
CT,MSD-Spleen,Abdomen,CT,Spleen,http://medicaldecathlon.com/#tasks,Dataset,organizers,95
CT,MSWAL,Abdomen,CT,"gallstones, kidney stones, liver tumors, kidney tumors, pancreatic cancer, liver cysts, and kidney cysts.",https://huggingface.co/datasets/zhaodongwu/MSWAL,Dataset,participants,74
CT,NIH-Pancreas,Pancreas,CT,Pancreas,https://www.cancerimagingarchive.net/collection/pancreas-ct/,Dataset,participants,48
CT,NSCLC Radiogenomics,Chest,CT,tumor,https://doi.org/10.7937/K9/TCIA.2017.7hs46erv,Dataset,organizers,16
CT,NSCLC-PleuralEffusion,Chest,CT,PleuralEffusion,https://doi.org/10.7937/tcia.2020.6c7y-gq39,Dataset,organizers,17
CT,NSCLC-Radiomics,Chest,CT,tumor,https://doi.org/10.7937/K9/TCIA.2015.PF0M9REI,Dataset,organizers,18
CT,OPC-Radiomics,Head and Neck,CT,Oropharynx tumor,https://doi.org/10.7937/tcia.2019.8dho2gls,Dataset,organizers,98
CT,Pancreatic-CT-CBCT-SEG,Abdomen,CT,Organ at risk,https://doi.org/10.7937/TCIA.ESHQ-4D90,Dataset,organizers,100
CT,PANORAMA,Abdomen,CT,Pancreas,https://panorama.grand-challenge.org/datasets-imaging-labels/,Dataset,organizers,128
CT,Parse 2022,Chest,CT,Pulmonary Artery,https://parse2022.grand-challenge.org/Dataset/,Dataset,organizers,103
CT,Pediatric-CT-SEG,"Chest, Abdomen, Pelvis",CT,"Abdomen, Chest, Pelvic organs",https://doi.org/10.7937/TCIA.X0H0-1706,Dataset,organizers,104
CT,PENGWIN,Pelvis,CT,Pelvic fracture,https://doi.org/10.5281/zenodo.10927452,Dataset,organizers,160
CT,Prostate Anatomical Edge Cases,Pelvis,CT,"Prostate, rectum, bladder, and bilateral femoral heads",https://www.cancerimagingarchive.net/collection/prostate-anatomical-edge-cases/,Dataset,organizers,105
CT,quan,Lung,CT,Lung,https://covid-segmentation.grand-challenge.org/Data/,Dataset,participants,6
CT,RibSeg,Abdomen,CT,Ribs,https://zenodo.org/records/5336592,Dataset,participants,50
CT,Seg.A.,Vessel,CTA,Aorta,https://figshare.com/articles/dataset/Aortic_Vessel_Tree_AVT_CTA_Datasets_and_Segmentations/14806362,Dataset,organizers,5
CT,SegRap,Head,CT,Head-neck cancer,https://drive.google.com/drive/folders/115mzmNlZRIewnSR2QFDwW_-RkNM0LC9D,Dataset,organizers,23
CT,SegTHOR,Heart,CT,Thoracic organs,https://competitions.codalab.org/competitions/21145#learn_the_details-terms_and_conditions,Dataset,participants,8
CT,SpineMets,Abdomen,CT,Spine Mets,https://www.cancerimagingarchive.net/collection/spine-mets-ct-seg/,Dataset,participants,60
